Wavelength (nm),S3Abs,Wavelength (nm),S4Abs,Wavelength (nm),S5Abs,Wavelength (nm),S6Abs,Wavelength (nm),S7Abs,Wavelength (nm),S8Abs,Wavelength (nm),S9Abs,Wavelength (nm),S10Abs,Wavelength (nm),S11Abs,Wavelength (nm),S12Abs,Wavelength (nm),S13Abs,Wavelength (nm),S14Abs,Wavelength (nm),S15Abs,Wavelength (nm),S16Abs,Wavelength (nm),S17Abs,
527.0628662,0.1771991998,527.0628662,0.1886489987,527.0628662,0.1894662678,527.0628662,0.1906634569,527.0628662,0.1960694343,527.0628662,0.2015398145,527.0628662,0.2064497024,527.0628662,0.2082499564,527.0628662,0.2177633941,527.0628662,0.2182219326,527.0628662,0.2218203843,527.0628662,0.2232180983,527.0628662,0.2299108207,527.0628662,0.2345128655,527.0628662,0.2402982265,
526.007019,0.1842367053,526.007019,0.195588246,526.007019,0.1955299675,526.007019,0.1954505146,526.007019,0.2015872896,526.007019,0.2068029642,526.007019,0.2111537457,526.007019,0.2133509517,526.007019,0.2217077613,526.007019,0.2216003388,526.007019,0.2258532792,526.007019,0.226767987,526.007019,0.2333125174,526.007019,0.2367442399,526.007019,0.2433821708,
524.9508667,0.1902892292,524.9508667,0.2016374767,524.9508667,0.2008075267,524.9508667,0.2011538297,524.9508667,0.2073271126,524.9508667,0.2116909027,524.9508667,0.215514183,524.9508667,0.2176498175,524.9508667,0.2259785235,524.9508667,0.2248360366,524.9508667,0.2294706553,524.9508667,0.2299902886,524.9508667,0.2364139706,524.9508667,0.2394451648,524.9508667,0.2456396669,
524.0454712,0.1959190667,524.0454712,0.206595093,524.0454712,0.2053854316,524.0454712,0.2051422149,524.0454712,0.2109381557,524.0454712,0.2152955532,524.0454712,0.2191633582,524.0454712,0.2208845168,524.0454712,0.2286446691,524.0454712,0.2277806997,524.0454712,0.2322276235,524.0454712,0.2323836237,524.0454712,0.2382769585,524.0454712,0.2422633618,524.0454712,0.2475263178,
522.9888916,0.203852132,522.9888916,0.2132109404,522.9888916,0.2130980343,522.9888916,0.2125237882,522.9888916,0.2178136706,522.9888916,0.2213575244,522.9888916,0.2247057855,522.9888916,0.2260300517,522.9888916,0.2335925251,522.9888916,0.2327285409,522.9888916,0.2369116098,522.9888916,0.236203298,522.9888916,0.2422606945,522.9888916,0.2458610684,522.9888916,0.2509897053,
521.9320679,0.2119694501,521.9320679,0.220756039,521.9320679,0.2192349285,521.9320679,0.2185959071,521.9320679,0.2229963988,521.9320679,0.2264350504,521.9320679,0.2294595838,521.9320679,0.2302382141,521.9320679,0.2371319681,521.9320679,0.2356406748,521.9320679,0.2397595793,521.9320679,0.2393147945,521.9320679,0.2448658496,521.9320679,0.2481705248,521.9320679,0.2537480295,
521.026062,0.2189795375,521.026062,0.2274872065,521.026062,0.2246365994,521.026062,0.2244725972,521.026062,0.2280941904,521.026062,0.2314687073,521.026062,0.2341237813,521.026062,0.2353990078,521.026062,0.2412030697,521.026062,0.2400166541,521.026062,0.2432385683,521.026062,0.2431006432,521.026062,0.2481523156,521.026062,0.250675112,521.026062,0.2561309934,
519.96875,0.2268021554,519.96875,0.2338767499,519.96875,0.2313161194,519.96875,0.2301032394,519.96875,0.2340991944,519.96875,0.2366680354,519.96875,0.2383174747,519.96875,0.240003556,519.96875,0.2450887263,519.96875,0.2434064299,519.96875,0.2464307547,519.96875,0.2458786666,519.96875,0.2510980964,519.96875,0.2526441216,519.96875,0.2580432594,
519.0623169,0.2323150337,519.0623169,0.2387819588,519.0623169,0.2361078411,519.0623169,0.234085083,519.0623169,0.2378164232,519.0623169,0.2399428785,519.0623169,0.2415919602,519.0623169,0.242879048,519.0623169,0.2477596253,519.0623169,0.2461927235,519.0623169,0.2487490624,519.0623169,0.2482744008,519.0623169,0.2538838685,519.0623169,0.2542774379,519.0623169,0.2598774135,
518.0046387,0.2393521219,518.0046387,0.2452264279,518.0046387,0.2413353622,518.0046387,0.2393090576,518.0046387,0.2422465384,518.0046387,0.2444678843,518.0046387,0.2450547665,518.0046387,0.2468635142,518.0046387,0.2512353361,518.0046387,0.2488574535,518.0046387,0.2514149845,518.0046387,0.2505006194,518.0046387,0.2563033104,518.0046387,0.2560314834,518.0046387,0.261476934,
516.9466553,0.2472693473,516.9466553,0.2520129681,516.9466553,0.2486887127,516.9466553,0.2456914335,516.9466553,0.248148188,516.9466553,0.2497429401,516.9466553,0.2505215704,516.9466553,0.2513385713,516.9466553,0.2550591826,516.9466553,0.253577888,516.9466553,0.2548389435,516.9466553,0.2535106838,516.9466553,0.2591390312,516.9466553,0.2587760091,516.9466553,0.264051944,
516.0396118,0.255302906,516.0396118,0.2584388852,516.0396118,0.2541529536,516.0396118,0.2511180341,516.0396118,0.2537273467,516.0396118,0.2545825839,516.0396118,0.2552717924,516.0396118,0.2561090589,516.0396118,0.2591837943,516.0396118,0.2573896348,516.0396118,0.2584642768,516.0396118,0.2562070191,516.0396118,0.2612755895,516.0396118,0.2622000873,516.0396118,0.265897423,
514.9812012,0.2618102431,514.9812012,0.2647699118,514.9812012,0.2602193654,514.9812012,0.2557935715,514.9812012,0.2582182586,514.9812012,0.2589496672,514.9812012,0.2591128051,514.9812012,0.2597073913,514.9812012,0.2619569898,514.9812012,0.2604255676,514.9812012,0.2605087459,514.9812012,0.2584009171,514.9812012,0.262473017,514.9812012,0.2615653872,514.9812012,0.2667919099,
514.0737915,0.2679964602,514.0737915,0.2711078525,514.0737915,0.2658136785,514.0737915,0.2607930303,514.0737915,0.2630828917,514.0737915,0.2628731132,514.0737915,0.2627463937,514.0737915,0.263687551,514.0737915,0.2652651072,514.0737915,0.2631059885,514.0737915,0.2633287907,514.0737915,0.2606917024,514.0737915,0.2649365067,514.0737915,0.2611599565,514.0737915,0.2682891786,
513.0148926,0.2751351297,513.0148926,0.2769085169,513.0148926,0.2713272274,513.0148926,0.2662670016,513.0148926,0.268291831,513.0148926,0.2672644854,513.0148926,0.2669484019,513.0148926,0.2668327689,513.0148926,0.2685302794,513.0148926,0.2656883299,513.0148926,0.2658706903,513.0148926,0.2632282674,513.0148926,0.2666199505,513.0148926,0.2634320557,513.0148926,0.2699943483,
511.9558105,0.2820930481,511.9558105,0.2829218507,511.9558105,0.2765653431,511.9558105,0.2707385123,511.9558105,0.2728672624,511.9558105,0.2718795836,511.9558105,0.2707229853,511.9558105,0.2703522742,511.9558105,0.2712315917,511.9558105,0.2679790556,511.9558105,0.2677990198,511.9558105,0.2651336491,511.9558105,0.268086493,511.9558105,0.2670594752,511.9558105,0.2708297968,
511.0477905,0.2894978821,511.0477905,0.2889214158,511.0477905,0.2821191847,511.0477905,0.276245594,511.0477905,0.2775935233,511.0477905,0.2764862478,511.0477905,0.2747111917,511.0477905,0.2741265595,511.0477905,0.2745804787,511.0477905,0.2709260881,511.0477905,0.2704458237,511.0477905,0.2671153843,511.0477905,0.2700195909,511.0477905,0.2693284154,511.0477905,0.2723401487,
509.9882202,0.2970675528,509.9882202,0.2957136333,509.9882202,0.2878751755,509.9882202,0.282045275,509.9882202,0.2822486162,509.9882202,0.2809371352,509.9882202,0.2783369422,509.9882202,0.2779484093,509.9882202,0.2778055668,509.9882202,0.2746762931,509.9882202,0.2732389867,509.9882202,0.2699963152,509.9882202,0.2722853422,509.9882202,0.2712614536,509.9882202,0.2736113369,
508.9284363,0.3041399121,508.9284363,0.301782161,508.9284363,0.2937903702,508.9284363,0.2871548235,508.9284363,0.2880081534,508.9284363,0.2862584591,508.9284363,0.2828310728,508.9284363,0.2813877463,508.9284363,0.2811440229,508.9284363,0.2775274217,508.9284363,0.2759686708,508.9284363,0.2718574405,508.9284363,0.2740004957,508.9284363,0.2729255855,508.9284363,0.2751202583,
508.0198364,0.3096938431,508.0198364,0.3052398264,508.0198364,0.2975169122,508.0198364,0.2900041044,508.0198364,0.2905542254,508.0198364,0.288264662,508.0198364,0.2849032879,508.0198364,0.2825984061,508.0198364,0.2827593386,508.0198364,0.2783391178,508.0198364,0.276712507,508.0198364,0.2722863555,508.0198364,0.2749527991,508.0198364,0.272967279,508.0198364,0.2745095491,
506.9595947,0.3167870641,506.9595947,0.3116301596,506.9595947,0.3029233217,506.9595947,0.2953358293,506.9595947,0.2955462933,506.9595947,0.292494446,506.9595947,0.2884934545,506.9595947,0.2865250111,506.9595947,0.2855558097,506.9595947,0.2807504237,506.9595947,0.2788229287,506.9595947,0.2744153142,506.9595947,0.2762919664,506.9595947,0.2746929228,506.9595947,0.275816679,
506.0505981,0.3213803172,506.0505981,0.3157111108,506.0505981,0.3068479896,506.0505981,0.2989813387,506.0505981,0.2984064817,506.0505981,0.2955003679,506.0505981,0.2913232148,506.0505981,0.2883826792,506.0505981,0.2875802815,506.0505981,0.2817891836,506.0505981,0.2801088393,506.0505981,0.2753014863,506.0505981,0.276375562,506.0505981,0.2741517723,506.0505981,0.2758170962,
504.9899292,0.329318881,504.9899292,0.3218402267,504.9899292,0.3120811284,504.9899292,0.3042424917,504.9899292,0.3029834628,504.9899292,0.2999858856,504.9899292,0.294944644,504.9899292,0.2919105887,504.9899292,0.2903060317,504.9899292,0.2846474349,504.9899292,0.2823640406,504.9899292,0.2769435346,504.9899292,0.2773564756,504.9899292,0.2749871314,504.9899292,0.2764316499,
503.9289856,0.3358688354,503.9289856,0.3271267414,503.9289856,0.31697312,503.9289856,0.3087472022,503.9289856,0.3065752685,503.9289856,0.3027224243,503.9289856,0.2980373502,503.9289856,0.2942359149,503.9289856,0.291952014,503.9289856,0.2859572172,503.9289856,0.2829273045,503.9289856,0.2779168487,503.9289856,0.2779851854,503.9289856,0.2753040791,503.9289856,0.2763878405,
503.0194397,0.3420132399,503.0194397,0.3319728673,503.0194397,0.3213504255,503.0194397,0.3123342395,503.0194397,0.3092245162,503.0194397,0.3057626784,503.0194397,0.3003636897,503.0194397,0.2963381708,503.0194397,0.2940321267,503.0194397,0.2877448499,503.0194397,0.2841412127,503.0194397,0.2783061862,503.0194397,0.2786926031,503.0194397,0.2755199969,503.0194397,0.2765494883,
501.9580688,0.347660929,501.9580688,0.3367268443,501.9580688,0.3256505728,501.9580688,0.3163318932,501.9580688,0.3131808341,501.9580688,0.3091225922,501.9580688,0.3033341765,501.9580688,0.2986960411,501.9580688,0.2963854969,501.9580688,0.2895192206,501.9580688,0.2856402993,501.9580688,0.279663831,501.9580688,0.2794832289,501.9580688,0.2753509283,501.9580688,0.276899457,
501.0481262,0.3525183201,501.0481262,0.3402238488,501.0481262,0.3286956251,501.0481262,0.3189441264,501.0481262,0.3154655099,501.0481262,0.3113947511,501.0481262,0.3057781458,501.0481262,0.3004723489,501.0481262,0.2975931764,501.0481262,0.2901947796,501.0481262,0.2863709629,501.0481262,0.2797527611,501.0481262,0.2798427939,501.0481262,0.2758088112,501.0481262,0.2764822841,
