Curcumin Nano Particle,,9 micro L,,10 micro L,,20 micro L,,30 micro L,,40 micro L,,50 micro L,,60 micro L,,70 micro L,,80 micro L,,90 micro L,,,,,
271,,321,,321,,321,,271,,321,,321,,321,,321,,321,,321,,,,,
D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-700,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,D1 420:430-750,,,,,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,,,,
518.12,33656.2,518.12,34674.3,518.12,34175.4,518.12,36324.7,518.12,39823.7,518.12,46963.8,518.12,49127.4,518.12,52598.2,518.12,55889.9,518.12,59692.5,518.12,63936.6,,,,
519.107,33900.5,519.107,35692.9,519.107,35550.3,519.107,37272.8,519.107,41049.4,519.107,45140.5,519.107,48563.2,519.107,52680.4,519.107,56425.3,519.107,60414.6,519.107,66512.3,,,,
520.093,34226.3,520.093,36650.9,520.093,37568.5,520.093,38558.1,520.093,41100.5,520.093,45120,520.093,50400,520.093,53739.4,520.093,57074.2,520.093,62593.1,520.093,66636.5,,,,
521.08,35203.9,521.08,37364.6,521.08,37996.9,521.08,38813.2,521.08,42408.7,521.08,47999.1,521.08,52033,521.08,55848.7,521.08,58197.3,521.08,63430.1,521.08,66957.4,,,,
522.066,35621.6,522.066,36844.6,522.066,37119.8,522.066,38690.7,522.066,42459.8,522.066,49127.4,522.066,54284.5,522.066,56631.2,522.066,57898.4,522.066,64474.2,522.066,66884.9,,,,
523.052,35326.1,523.052,37772.5,523.052,37721.5,523.052,40252.6,523.052,41519.4,523.052,51077.7,523.052,54037.6,523.052,57383.2,523.052,60920.3,523.052,64991.3,523.052,68645.7,,,,
524.039,36120.9,524.039,39119.3,524.039,37741.9,524.039,41243.5,524.039,44884.5,524.039,49435.2,524.039,53677.7,524.039,59331.5,524.039,62810.1,524.039,65736.1,524.039,68759.7,,,,
525.025,37446.2,525.025,39874.8,525.025,38078.5,525.025,41325.3,525.025,45898.3,525.025,49414.7,525.025,53585.1,525.025,58898.3,525.025,63636.8,525.025,66491.6,525.025,71269.1,,,,
526.012,38364.2,526.012,38088.7,526.012,40028,526.012,41274.2,526.012,46810.1,526.012,49414.7,526.012,54984.1,526.012,59971,526.012,63264.7,526.012,67993,526.012,72379.7,,,,
526.998,38129.5,526.998,39650.2,526.998,38629.5,526.998,43083.6,526.998,46082.7,526.998,52104.9,526.998,56744.5,526.998,60249.5,526.998,65601.6,526.998,68241.6,526.998,72390,,,,
